Код производителя:;408157
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;23 стр./мин.
Нагрузка в месяц:;20000 стр.
