Подача и захват бумаги;AF031061;AF031061 - Ролик подачи бумаги из кассеты;['Ricoh Aficio SP C252DN'];
Внутренние компоненты;AX640199;AX640199 - Вентилятор;['Ricoh Aficio SP 3400N', 'Ricoh Aficio SP C250DN', 'Ricoh Aficio SP 310DN', 'Ricoh Aficio SP 3410DN', 'Ricoh Aficio SP C252DN', 'Ricoh Aficio SP 311DN', 'Ricoh Aficio SP 3500N', 'Ricoh Aficio SP 311DNw', 'Ricoh Aficio SP 3510DN'];
Узел переноса;M0966000;M0966000 - Узел переноса изображения, в сборе;['Ricoh Aficio SP C252DN'];
Узел переноса;M0966202;M0966202 - Вал вторичного переноса изображения, в сборе;['Ricoh Aficio SP C252DN'];
Электронные компоненты;M1991400;M1991400 - Панель управления, в сборе;[];
Электронные компоненты;M0931851;M0931851 - Блок лазера;['Ricoh Aficio SP C252DN'];
Узел термозакрепления;M0964028;M0964028 - Печь, в сборе (220В);['Ricoh Aficio SP C252DN'];
Детали корпуса;04503010N;04503010N - Винт (M3X10);['Ricoh Aficio SP 311DNw', 'Ricoh Aficio SP 3500N', 'Ricoh Aficio SP 310DN', 'Ricoh Aficio SP 3400N', 'Ricoh Aficio SP 3510DN', 'Ricoh Aficio SP 311DN', 'Ricoh Aficio SP 3410DN', 'Ricoh Aficio SP C250DN'];
Детали корпуса;04543008Q;04543008Q - Винт (3X8);['Ricoh Aficio SP 3400N', 'Ricoh Aficio SP C250DN', 'Ricoh Aficio SP 310DN', 'Ricoh Aficio SP 3410DN', 'Ricoh Aficio SP C252DN', 'Ricoh Aficio SP 311DN', 'Ricoh Aficio SP 3500N', 'Ricoh Aficio SP 311DNw', 'Ricoh Aficio SP 3510DN'];
Детали корпуса;M0960042;M0960042 - Левая крышка, в сборе;['Ricoh Aficio SP C252DN'];
Детали корпуса;M1981333;M1981333 - Правая крышка;['Ricoh Aficio SP C252DN'];
Детали корпуса;04524010N;04524010N - Винт (4X10);['Ricoh Aficio SP C252DN'];
