Код производителя:;408064
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;60 стр./мин. (А4)
Нагрузка в месяц:;300000 стр.
