Код производителя:;4896B003
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;16 стр./мин. (Ч/Б)4 стр./мин. (Цв.)
Нагрузка в месяц:;15000 стр.
