Код производителя:;9577B004
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;25 стр./мин. (Ч/Б)25 стр./мин. (Цв.)
Нагрузка в месяц:;40000 стр.
