Код производителя:;2234B007
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция факса:;да
Функция телефона:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;15 стр./мин.
Нагрузка в месяц:;7500 стр.
