Код производителя:;1418C017
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;27 стр./мин.
Нагрузка в месяц:;15000 стр.
