Код производителя:;2611B004
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;14 стр./мин.
Нагрузка в месяц:;5000 стр.
