Код производителя:;0913C004
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;11 стр./мин. (А3)22 стр./мин. (А4)
Нагрузка в месяц:;60000 стр.
