Код производителя:;1314B021
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;21 стр./мин. (Ч/Б)21 стр./мин. (Цв.)
Нагрузка в месяц:;65000 стр.
