Код производителя:;3102C008
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;21 стр./мин. (Ч/Б)21 стр./мин. (Цв.)
Нагрузка в месяц:;30000 стр.
