Код производителя:;2711B054
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;23 стр./мин.
Нагрузка в месяц:;7500 стр.
