Код производителя:;6848B012
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;14 стр./мин. (Ч/Б)14 стр./мин. (Цв.)
Нагрузка в месяц:;30000 стр.
