Узел автоматической подачи оригиналов;FC6-7765-000;FC6-7765-000 - Ролик отделения бумаги в узле автоматической подачи документов;['Canon LaserBase MF6580PL', 'Canon i-SENSYS MF6560PL', 'Canon LaserBase MF6530', 'Canon Satera MF6570', 'Canon i-SENSYS MF6580PL', 'Canon LaserBase MF6540PL', 'Canon i-SENSYS MF6530', 'Canon iR1020', 'Canon LaserBase MF6550', 'Canon i-SENSYS MF6540PL', 'Canon imageCLASS MF6530', 'Canon LaserBase MF6560PL', 'Canon i-SENSYS MF6550'];E:\Projects\PycharmProjects\parser_profit\images\canon\FC6-7765-000.jpg
Узел автоматической подачи оригиналов;FL2-3987-000;FL2-3987-000 - Площадка отделения бумаги из узла автоматической подачи документов;['Canon i-SENSYS MF6560PL', 'Canon iR1023iF', 'Canon LaserBase MF6540PL', 'Canon i-SENSYS MF6580PL', 'Canon iR1024A', 'Canon LaserBase MF6550', 'Canon iR1022', 'Canon iR1024Ai', 'Canon LaserBase MF6560PL', 'Canon iR1022A', 'Canon iR1024F', 'Canon LaserBase MF6580PL', 'Canon iR1022F', 'Canon iR1024iF', 'Canon Satera MF6570', 'Canon iR1022J', 'Canon iR1025', 'Canon i-SENSYS MF6530', 'Canon iR1022i', 'Canon iR1025N', 'Canon i-SENSYS MF6540PL', 'Canon iR1022iF', 'Canon iR1025iF', 'Canon i-SENSYS MF6550', 'Canon iR1023', 'Canon imageCLASS MF6530'];E:\Projects\PycharmProjects\parser_profit\images\canon\FL2-3987-000.jpg
Подача и захват бумаги;FB4-9817-030;FB4-9817-030 - Ролик захвата бумаги;['Canon iR1210', 'Canon imageRUNNER 1610FL', 'Canon LaserBase MF6530', 'Canon iR1230', 'Canon imageRUNNER 2000', 'Canon LaserBase MF6540PL', 'Canon iR1270F', 'Canon imageRUNNER 2000F', 'Canon LaserBase MF6550', 'Canon iR1310', 'Canon imageRUNNER 2000FL', 'Canon LaserBase MF6560PL', 'Canon iR1330', 'Canon imageRUNNER 2000L', 'Canon LaserBase MF6580PL', 'Canon iR1370F', 'Canon imageRUNNER 2010', 'Canon LaserBase MF6580PL', 'Canon iR1510', 'Canon imageRUNNER 2010F', 'Canon Satera MF6570', 'Canon iR1530', 'Canon imageRUNNER 2010FL', 'Canon i-SENSYS MF6530', 'Canon iR1570F', 'HP Color LaserJet 4500', 'Canon i-SENSYS MF6540PL', 'Canon iR1630', 'HP Color LaserJet 4500DN', 'Canon i-SENSYS MF6550', 'Canon iR1670F', 'HP Color LaserJet 4500N', 'Canon i-SENSYS MF6560PL', 'Canon iR2016', 'HP Color LaserJet 4550', 'Canon i-SENSYS MF6580PL', 'Canon iR2016J', 'HP Color LaserJet 4550DN', 'Canon iR1018', 'Canon iR2016i', 'HP Color LaserJet 4550HDN', 'Canon iR1018J', 'Canon iR2020', 'HP Color LaserJet 4550N', 'Canon iR1019J', 'Canon iR2020J', 'HP LaserJet 4000', 'Canon iR1022', 'Canon iR2020S', 'HP LaserJet 4000N', 'Canon iR1022A', 'Canon iR2020i', 'HP LaserJet 4000t', 'Canon iR1022F', 'Canon imageCLASS MF6530', 'HP LaserJet 4000tn', 'Canon iR1022FJ', 'Canon imageRUNNER 1600', 'HP LaserJet 4050', 'Canon iR1022i', 'Canon imageRUNNER 1600F', 'HP LaserJet 4050N', 'Canon iR1022iF', 'Canon imageRUNNER 1600FL', 'HP LaserJet 4050T', 'Canon iR1023', 'Canon imageRUNNER 1600L', 'HP LaserJet 4050TN', 'Canon iR1023N', 'Canon imageRUNNER 1610', 'HP LaserJet 4050se', 'Canon iR1023iF', 'Canon imageRUNNER 1610F'];E:\Projects\PycharmProjects\parser_profit\images\canon\FB4-9817-030.jpg
Подача и захват бумаги;RB1-8865-000CN;HP | RB1-8865-000CN - Ролик захвата бумаги;['Canon iR1210', 'Canon imageRUNNER 1610FL', 'Canon LaserBase MF6530', 'Canon iR1230', 'Canon imageRUNNER 2000', 'Canon LaserBase MF6540PL', 'Canon iR1270F', 'Canon imageRUNNER 2000F', 'Canon LaserBase MF6550', 'Canon iR1310', 'Canon imageRUNNER 2000FL', 'Canon LaserBase MF6560PL', 'Canon iR1330', 'Canon imageRUNNER 2000L', 'Canon LaserBase MF6580PL', 'Canon iR1370F', 'Canon imageRUNNER 2010', 'Canon LaserBase MF6580PL', 'Canon iR1510', 'Canon imageRUNNER 2010F', 'Canon Satera MF6570', 'Canon iR1530', 'Canon imageRUNNER 2010FL', 'Canon i-SENSYS MF6530', 'Canon iR1570F', 'HP Color LaserJet 4500', 'Canon i-SENSYS MF6540PL', 'Canon iR1630', 'HP Color LaserJet 4500DN', 'Canon i-SENSYS MF6550', 'Canon iR1670F', 'HP Color LaserJet 4500N', 'Canon i-SENSYS MF6560PL', 'Canon iR2016', 'HP Color LaserJet 4550', 'Canon i-SENSYS MF6580PL', 'Canon iR2016J', 'HP Color LaserJet 4550DN', 'Canon iR1018', 'Canon iR2016i', 'HP Color LaserJet 4550HDN', 'Canon iR1018J', 'Canon iR2020', 'HP Color LaserJet 4550N', 'Canon iR1019J', 'Canon iR2020J', 'HP LaserJet 4000', 'Canon iR1022', 'Canon iR2020S', 'HP LaserJet 4000N', 'Canon iR1022A', 'Canon iR2020i', 'HP LaserJet 4000t', 'Canon iR1022F', 'Canon imageCLASS MF6530', 'HP LaserJet 4000tn', 'Canon iR1022FJ', 'Canon imageRUNNER 1600', 'HP LaserJet 4050', 'Canon iR1022i', 'Canon imageRUNNER 1600F', 'HP LaserJet 4050N', 'Canon iR1022iF', 'Canon imageRUNNER 1600FL', 'HP LaserJet 4050T', 'Canon iR1023', 'Canon imageRUNNER 1600L', 'HP LaserJet 4050TN', 'Canon iR1023N', 'Canon imageRUNNER 1610', 'HP LaserJet 4050se', 'Canon iR1023iF', 'Canon imageRUNNER 1610F', 'Canon LaserBase MF6530', 'Canon iR1210', 'Canon imageRUNNER 1610FL', 'Canon LaserBase MF6530', 'Canon iR1230', 'Canon imageRUNNER 2000', 'Canon LaserBase MF6540PL', 'Canon iR1270F', 'Canon imageRUNNER 2000F', 'Canon LaserBase MF6550', 'Canon iR1310', 'Canon imageRUNNER 2000FL', 'Canon LaserBase MF6560PL', 'Canon iR1330', 'Canon imageRUNNER 2000L', 'Canon LaserBase MF6580PL', 'Canon iR1370F', 'Canon imageRUNNER 2010', 'Canon LaserBase MF6580PL', 'Canon iR1510', 'Canon imageRUNNER 2010F', 'Canon Satera MF6570', 'Canon iR1530', 'Canon imageRUNNER 2010FL', 'Canon i-SENSYS MF6530', 'Canon iR1570F', 'HP Color LaserJet 4500', 'Canon i-SENSYS MF6540PL', 'Canon iR1630', 'HP Color LaserJet 4500DN', 'Canon i-SENSYS MF6550', 'Canon iR1670F', 'HP Color LaserJet 4500N', 'Canon i-SENSYS MF6560PL', 'Canon iR2016', 'HP Color LaserJet 4550', 'Canon i-SENSYS MF6580PL', 'Canon iR2016J', 'HP Color LaserJet 4550DN', 'Canon iR1018', 'Canon iR2016i', 'HP Color LaserJet 4550HDN', 'Canon iR1018J', 'Canon iR2020', 'HP Color LaserJet 4550N', 'Canon iR1019J', 'Canon iR2020J', 'HP LaserJet 4000', 'Canon iR1022', 'Canon iR2020S', 'HP LaserJet 4000N', 'Canon iR1022A', 'Canon iR2020i', 'HP LaserJet 4000t', 'Canon iR1022F', 'Canon imageCLASS MF6530', 'HP LaserJet 4000tn', 'Canon iR1022FJ', 'Canon imageRUNNER 1600', 'HP LaserJet 4050', 'Canon iR1022i', 'Canon imageRUNNER 1600F', 'HP LaserJet 4050N', 'Canon iR1022iF', 'Canon imageRUNNER 1600FL', 'HP LaserJet 4050T', 'Canon iR1023', 'Canon imageRUNNER 1600L', 'HP LaserJet 4050TN', 'Canon iR1023N', 'Canon imageRUNNER 1610', 'HP LaserJet 4050se', 'Canon iR1023iF', 'Canon imageRUNNER 1610F', 'Canon LaserBase MF6530', 'Canon iR1210', 'Canon imageRUNNER 1610FL', 'Canon LaserBase MF6530', 'Canon iR1230', 'Canon imageRUNNER 2000', 'Canon LaserBase MF6540PL', 'Canon iR1270F', 'Canon imageRUNNER 2000F', 'Canon LaserBase MF6550', 'Canon iR1310', 'Canon imageRUNNER 2000FL', 'Canon LaserBase MF6560PL', 'Canon iR1330', 'Canon imageRUNNER 2000L', 'Canon LaserBase MF6580PL', 'Canon iR1370F', 'Canon imageRUNNER 2010', 'Canon LaserBase MF6580PL', 'Canon iR1510', 'Canon imageRUNNER 2010F', 'Canon Satera MF6570', 'Canon iR1530', 'Canon imageRUNNER 2010FL', 'Canon i-SENSYS MF6530', 'Canon iR1570F', 'HP Color LaserJet 4500', 'Canon i-SENSYS MF6540PL', 'Canon iR1630', 'HP Color LaserJet 4500DN', 'Canon i-SENSYS MF6550', 'Canon iR1670F', 'HP Color LaserJet 4500N', 'Canon i-SENSYS MF6560PL', 'Canon iR2016', 'HP Color LaserJet 4550', 'Canon i-SENSYS MF6580PL', 'Canon iR2016J', 'HP Color LaserJet 4550DN', 'Canon iR1018', 'Canon iR2016i', 'HP Color LaserJet 4550HDN', 'Canon iR1018J', 'Canon iR2020', 'HP Color LaserJet 4550N', 'Canon iR1019J', 'Canon iR2020J', 'HP LaserJet 4000', 'Canon iR1022', 'Canon iR2020S', 'HP LaserJet 4000N', 'Canon iR1022A', 'Canon iR2020i', 'HP LaserJet 4000t', 'Canon iR1022F', 'Canon imageCLASS MF6530', 'HP LaserJet 4000tn', 'Canon iR1022FJ', 'Canon imageRUNNER 1600', 'HP LaserJet 4050', 'Canon iR1022i', 'Canon imageRUNNER 1600F', 'HP LaserJet 4050N', 'Canon iR1022iF', 'Canon imageRUNNER 1600FL', 'HP LaserJet 4050T', 'Canon iR1023', 'Canon imageRUNNER 1600L', 'HP LaserJet 4050TN', 'Canon iR1023N', 'Canon imageRUNNER 1610', 'HP LaserJet 4050se', 'Canon iR1023iF', 'Canon imageRUNNER 1610F'];
Электронные компоненты;FM2-5271-000;FM2-5271-000 - Блок лазера;['Canon i-SENSYS MF6560PL', 'Canon iR1022A', 'Canon LaserBase MF6540PL', 'Canon i-SENSYS MF6580PL', 'Canon iR1022F', 'Canon LaserBase MF6550', 'Canon iR1018', 'Canon iR1022J', 'Canon LaserBase MF6560PL', 'Canon iR1018J', 'Canon iR1022i', 'Canon LaserBase MF6580PL', 'Canon iR1019J', 'Canon iR1022iF', 'Canon i-SENSYS MF6530', 'Canon iR1020', 'Canon iR1023', 'Canon i-SENSYS MF6540PL', 'Canon iR1020J', 'Canon iR1023N', 'Canon i-SENSYS MF6550', 'Canon iR1022', 'Canon iR1023iF'];
Узел термозакрепления;FC6-7482-000;FC6-7482-000 - Прижимной вал;['Canon i-SENSYS MF6560PL', 'Canon iR1022A', 'Canon LaserBase MF6540PL', 'Canon i-SENSYS MF6580PL', 'Canon iR1022F', 'Canon LaserBase MF6550', 'Canon iR1018', 'Canon iR1022J', 'Canon LaserBase MF6560PL', 'Canon iR1018J', 'Canon iR1022i', 'Canon LaserBase MF6580PL', 'Canon iR1019J', 'Canon iR1022iF', 'Canon i-SENSYS MF6530', 'Canon iR1020', 'Canon iR1023', 'Canon i-SENSYS MF6540PL', 'Canon iR1020J', 'Canon iR1023N', 'Canon i-SENSYS MF6550', 'Canon iR1022', 'Canon iR1023iF'];E:\Projects\PycharmProjects\parser_profit\images\canon\FC6-7482-000.jpg
Узел термозакрепления;FC6-7482-000;CET | FC6-7482-000 - (CET3965) Прижимной вал;['Canon i-SENSYS MF6560PL', 'Canon iR1022A', 'Canon LaserBase MF6540PL', 'Canon i-SENSYS MF6580PL', 'Canon iR1022F', 'Canon LaserBase MF6550', 'Canon iR1018', 'Canon iR1022J', 'Canon LaserBase MF6560PL', 'Canon iR1018J', 'Canon iR1022i', 'Canon LaserBase MF6580PL', 'Canon iR1019J', 'Canon iR1022iF', 'Canon i-SENSYS MF6530', 'Canon iR1020', 'Canon iR1023', 'Canon i-SENSYS MF6540PL', 'Canon iR1020J', 'Canon iR1023N', 'Canon i-SENSYS MF6550', 'Canon iR1022', 'Canon iR1023iF'];E:\Projects\PycharmProjects\parser_profit\images\canon\FC6-7482-000.jpg
Узел термозакрепления;FM2-5296-000;FM2-5296-000 - Узел термозакрепления (220В);['Canon iR1018J', 'Canon iR1023N', 'Canon LaserBase MF6540PL', 'Canon iR1019J', 'Canon iR1023iF', 'Canon LaserBase MF6550', 'Canon iR1020', 'Canon iR1024A', 'Canon LaserBase MF6560PL', 'Canon iR1020J', 'Canon iR1024F', 'Canon LaserBase MF6580PL', 'Canon iR1022', 'Canon iR1024i', 'Canon i-SENSYS MF6530', 'Canon iR1022A', 'Canon iR1024iF', 'Canon i-SENSYS MF6540PL', 'Canon iR1022F', 'Canon iR1025', 'Canon i-SENSYS MF6550', 'Canon iR1022J', 'Canon iR1025N', 'Canon i-SENSYS MF6560PL', 'Canon iR1022i', 'Canon iR1025iF', 'Canon i-SENSYS MF6580PL', 'Canon iR1022iF', 'Canon iR1018', 'Canon iR1023'];
