Код производителя:;0656C006
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;33 стр./мин. (Ч/Б)33 стр./мин. (Цв.)
Нагрузка в месяц:;80000 стр.
