Код производителя:;35S0330
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;42 стр./мин.
Нагрузка в месяц:;80000 стр.
