Электронные компоненты;12G4460;12G4460 - Вентилятор;['Lexmark E322', 'Lexmark E322n'];
Узел термозакрепления;12G4487;12G4487 - Лампа нагрева тефлонового вала (220В);['Lexmark E322', 'Lexmark E323n', 'Lexmark E320', 'Lexmark E322n', 'Lexmark E321', 'Lexmark E323'];
Узел термозакрепления;12G4494;12G4494 - Прижимной вал;['Lexmark E322', 'Lexmark E323n', 'Lexmark E320', 'Lexmark E322n', 'Lexmark E321', 'Lexmark E323'];
Узел термозакрепления;12G4489;12G4489 - Подшипник прижимного вала (1 шт. / в узле 2 шт.);['Lexmark E322', 'Lexmark E323n', 'Lexmark E320', 'Lexmark E322n', 'Lexmark E321', 'Lexmark E323'];
