Код производителя:;"34S07124513-630"
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;38 стр./мин.
Нагрузка в месяц:;80000 стр.
