Код производителя:;022DA513
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;10 стр./мин. (А3)20 стр./мин. (А4)
Нагрузка в месяц:;30000 стр.
