Код производителя:;012F43NL
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;24 стр./мин. (Ч/Б)24 стр./мин. (Цв.)
Нагрузка в месяц:;85000 стр.
