Код производителя:;1102N33NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;32 стр./мин. (Ч/Б, А3)32 стр./мин. (Цв., А3)65 стр./мин. (Ч/Б, А4)									65 стр./мин. (Цв., А4)
Нагрузка в месяц:;350000 стр.
