Код производителя:;1102JC3NL0
Тип устройства:;МФУ
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;15 стр./мин. (А3)30 стр./мин. (А4)
Нагрузка в месяц:;100000 стр.
