Код производителя:;1102KH3NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;10 стр./мин. (А3)22 стр./мин. (А4)
Нагрузка в месяц:;20000 стр.
