Код производителя:;1102GN3NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;20 стр./мин. (А3)30 стр./мин. (А4)
Нагрузка в месяц:;100000 стр.
