Код производителя:;1102RY3NL0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;40 стр./мин.
Нагрузка в месяц:;50000 стр.
