Код производителя:;1T02M70NX0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;25 стр./мин.
Нагрузка в месяц:;20000 стр.
