Код производителя:;FSC2026MFP+
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;26 стр./мин. (Ч/Б)26 стр./мин. (Цв.)
Нагрузка в месяц:;65000 стр.
