Код производителя:;012HB3NL
Тип устройства:;КМА
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;16 стр./мин. (А4)
Нагрузка в месяц:;20000 стр.
