Код производителя:;1102LY3NL0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;30 стр./мин.
Нагрузка в месяц:;20000 стр.
