Код производителя:;022FB613
Тип устройства:;копир
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;41 стр./мин. (А3)80 стр./мин. (А4)
Нагрузка в месяц:;400000 стр.
