Код производителя:;1102MN3NL1
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;27 стр./мин. (Ч/Б, А3)25 стр./мин. (Цв., А3)55 стр./мин. (Ч/Б, А4)									50 стр./мин. (Цв., А4)
Нагрузка в месяц:;225000 стр.
