Код производителя:;1102NJ3NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;40 стр./мин. (А3)80 стр./мин. (А4)
Нагрузка в месяц:;450000 стр.
