Код производителя:;1102P83NL0
Тип устройства:;МФУ
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;15 стр./мин. (А3)30 стр./мин. (А4)
Нагрузка в месяц:;125000 стр.
