Код производителя:;1102LN3NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;17 стр./мин. (Ч/Б, А3)17 стр./мин. (Цв., А3)35 стр./мин. (Ч/Б, А4)									35 стр./мин. (Цв., А4)
Нагрузка в месяц:;150000 стр.
