Код производителя:;1102LH3NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;27 стр./мин. (А3)55 стр./мин. (А4)
Нагрузка в месяц:;200000 стр.
