Код производителя:;1102L63NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;15 стр./мин. (Ч/Б, А3)15 стр./мин. (Цв., А3)30 стр./мин. (Ч/Б, А4)									30 стр./мин. (Цв., А4)
Нагрузка в месяц:;150000 стр.
