Код производителя:;1102TX3NL1
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;40 стр./мин. (Ч/Б)40 стр./мин. (Цв.)
Нагрузка в месяц:;150000 стр.
