Код производителя:;1102GZ3NL0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;23 стр./мин. (А3)40 стр./мин. (А4)
Нагрузка в месяц:;200000 стр.
