Код производителя:;1102N83NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Функция факса:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;32 стр./мин. (А3)65 стр./мин. (А4)
Нагрузка в месяц:;350000 стр.
