Код производителя:;1102KA3NL0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;28 стр./мин. (Ч/Б, А3)25 стр./мин. (Цв., А3)55 стр./мин. (Ч/Б, А4)									50 стр./мин. (Цв., А4)
Нагрузка в месяц:;150000 стр.
