Код производителя:;022C9513
Тип устройства:;КМА
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;8 стр./мин. (А3)16 стр./мин. (А4)
Нагрузка в месяц:;20000 стр.
