Код производителя:;022FC613
Тип устройства:;копир
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;31 стр./мин. (А3)60 стр./мин. (А4)
Нагрузка в месяц:;300000 стр.
