Код производителя:;1102T73NL0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;55 стр./мин.
Нагрузка в месяц:;250000 стр.
