Код производителя:;1102F73NL0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;16 стр./мин. (А3)32 стр./мин. (А4)
Нагрузка в месяц:;150000 стр.
