Код производителя:;022DB513
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;8 стр./мин. (А3)16 стр./мин. (А4)
Нагрузка в месяц:;20000 стр.
