Код производителя:;1102KP3NL0
Тип устройства:;МФУ
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;41 стр./мин. (А3)82 стр./мин. (А4)
Нагрузка в месяц:;400000 стр.
