Код производителя:;1102P73NL0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;22 стр./мин. (А3)40 стр./мин. (А4)
Нагрузка в месяц:;150000 стр.
