Код производителя:;1102KL3NL0
Тип устройства:;МФУ
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;8 стр./мин. (А3)18 стр./мин. (А4)
Нагрузка в месяц:;20000 стр.
