Код производителя:;1102KN3NL0
Тип устройства:;МФУ
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;31 стр./мин. (А3)62 стр./мин. (А4)
Нагрузка в месяц:;300000 стр.
