Код производителя:;1102J53EU0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;17 стр./мин. (А3)35 стр./мин. (А4)
Нагрузка в месяц:;150000 стр.
