Код производителя:;1102NP3NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;13 стр./мин. (Ч/Б, А3)13 стр./мин. (Цв., А3)25 стр./мин. (Ч/Б, А4)									25 стр./мин. (Цв., А4)
Нагрузка в месяц:;100000 стр.
