Код производителя:;1102NK3NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;30 стр./мин. (А3)60 стр./мин. (А4)
Нагрузка в месяц:;250000 стр.
