Код производителя:;012HA3NL
Тип устройства:;КМА
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;20 стр./мин. (А4)
Нагрузка в месяц:;30000 стр.
