Код производителя:;1102RN3NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;25 стр./мин. (Ч/Б, А3)25 стр./мин. (Цв., А3)50 стр./мин. (Ч/Б, А4)									50 стр./мин. (Цв., А4)
Нагрузка в месяц:;225000 стр.
