Код производителя:;1102N13NL1
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;22 стр./мин. (Ч/Б, А3)22 стр./мин. (Цв., А3)45 стр./мин. (Ч/Б, А4)									45 стр./мин. (Цв., А4)
Нагрузка в месяц:;225000 стр.
