Код производителя:;022FT513
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;13 стр./мин. (А3)25 стр./мин. (А4)
Нагрузка в месяц:;40000 стр.
