Код производителя:;1102RR3NL0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;30 стр./мин. (Ч/Б, А3)27 стр./мин. (Цв., А3)60 стр./мин. (Ч/Б, А4)									55 стр./мин. (Цв., А4)
Нагрузка в месяц:;250000 стр.
