Код производителя:;1102J03EU0
Тип устройства:;принтер
Функция печати:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;35 стр./мин.
Нагрузка в месяц:;150000 стр.
