Код производителя:;1102H03NL0
Тип устройства:;МФУ
Функция копирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;12 стр./мин. (А3)25 стр./мин. (А4)
Нагрузка в месяц:;80000 стр.
