Код производителя:;1102RJ3NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;25 стр./мин. (А3)50 стр./мин. (А4)
Нагрузка в месяц:;225000 стр.
