Код производителя:;1102RL3NL0
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А3
Скорость печати:;16 стр./мин. (Ч/Б, А3)16 стр./мин. (Цв., А3)32 стр./мин. (Ч/Б, А4)									32 стр./мин. (Цв., А4)
Нагрузка в месяц:;125000 стр.
