Код производителя:;DCP8085DN
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;черно-белая
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;30 стр./мин.
Нагрузка в месяц:;30000 стр.
