Код производителя:;DCP9020CDW
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;светодиодная
Максимальный формат:;А4
Скорость печати:;18 стр./мин. (Ч/Б)18 стр./мин. (Цв.)
Нагрузка в месяц:;30000 стр.
