Код производителя:;DCP9055CDN
Тип устройства:;МФУ
Функция печати:;да
Функция копирования:;да
Функция сканирования:;да
Цветность печати:;цветная
Технология печати:;лазерная
Максимальный формат:;А4
Скорость печати:;24 стр./мин. (Ч/Б)24 стр./мин. (Цв.)
Нагрузка в месяц:;40000 стр.
